accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
2017400175722,2017,504514,224464,-.482059,51.908925,1,E06000032,Luton,Motorway,Motorway,Serious,car/taxi
2009460171960,2009,554380,170490,.218529000878334,51.41236114501953,2,E07000107,Dartford,Motorway,Motorway,Fatal,motorcycle
201145EL58531,2011,508990,158650,-.4374749958515167,51.31647109985352,2,E07000207,Elmbridge,Motorway,Motorway,Serious,car/taxi
2014074010041,2014,337759,372288,-2.934176921844482,53.24393463134766,2,E06000050,Cheshire West and Chester,Motorway,Motorway,Serious,car/taxi
2013440195765,2013,465261,151713,-1.06610095500946,51.26079559326172,2,E07000084,Basingstoke and Deane,Motorway,Motorway,Serious,car/taxi
2015405DA1045,2015,503689,226160,-.4935640096664429,51.92431259155273,2,E06000056,Central Bedfordshire,Motorway,Motorway,Serious,car/taxi
201214C021312,2012,442320,389070,-1.365020036697388,53.39675903320313,2,E08000018,Rotherham,Motorway,Motorway,Serious,car/taxi
2008520802056,2008,361150,175190,-2.560786008834839,51.47428131103516,1,E06000023,"Bristol, City of",Motorway,Motorway,Fatal,pedestrian
201604WB16214,2016,351840,472900,-2.737432956695557,54.14949035644531,2,E07000121,Lancaster,Motorway,Motorway,Serious,car/taxi
2014460250301,2014,571820,167890,.4678159952163696,51.38399124145508,2,E06000035,Medway,Motorway,Motorway,Serious,car/taxi
2016450125911,2016,541781,154421,.0326870009303093,51.27076721191406,2,E07000215,Tandridge,Motorway,Motorway,Serious,car/taxi
200606X057073,2006,372420,404930,-2.417650938034058,53.54027557373047,1,E08000001,Bolton,Motorway,Motorway,Serious,car/taxi
200904TA09154,2009,361420,413840,-2.584734916687012,53.61966705322266,2,E07000118,Chorley,Motorway,Motorway,Serious,car/taxi
2007330704580,2007,455020,284260,-1.191781997680664,52.45349884033203,2,E07000131,Harborough,Motorway,Motorway,Serious,heavy goods
201045TA49945,2010,541500,154250,.0270000007003546,51.26978302001953,2,E07000215,Tandridge,Motorway,Motorway,Serious,car/taxi
2008440215567,2008,459430,106990,-1.15699303150177,50.85931015014648,2,E07000087,Fareham,Motorway,Motorway,Serious,motorcycle
2017420170490,2017,551396,221295,.197619,51.869697,2,E07000077,Uttlesford,Motorway,Motorway,Serious,car/taxi
2005230596378,2005,439530,282290,-1.419945001602173,52.43712615966797,2,E07000220,Rugby,Motorway,Motorway,Serious,heavy goods
2005520104639,2005,365570,178570,-2.497478008270264,51.50495529174805,2,E06000025,South Gloucestershire,Motorway,Motorway,Fatal,car/taxi
201243N243052,2012,483780,190900,-.7914869785308838,51.61065673828125,2,E07000007,Wycombe,Motorway,Motorway,Serious,car/taxi
2017549806617,2017,398994,181477,-2.01589,51.532199,2,E06000054,Wiltshire,Motorway,Motorway,Fatal,car/taxi
